name,category,latitude,longitude,rating,popularity
Vertigo Café Lounge,Café,24.489946,54.3572,8.0,0.8456056169071728
Al Rousha Restaurant (مطعم الروشة),Middle Eastern Restaurant,24.490914,54.361203,7.4,0.9194510108315986
Golden Fork,Chinese Restaurant,24.491683,54.360757,6.7,0.5080972374131179
كوستا كوفي,Coffee Shop,24.496592,54.374267,8.4,0.9068200261087394
Fresh Way,Sushi Restaurant,24.496224,54.373689,7.5,0.8022086582224888
كافي ومطعم بلانيت,Hookah Bar,24.497084,54.374111,7.9,0.8410189464770843
Sun & Sand Sports,Sporting Goods Retail,24.496375,54.372065,7.7,0.9762904420844652
Bel Mondo,French Restaurant,24.496041,54.37278,6.2,0.679568147337967
ADCB Head Office,Bank,24.493393,54.374714,8.4,0.994672405885051
ستاربكس,Coffee Shop,24.498145,54.372369,7.4,0.8036552235119783
Golden Crown,Indian Restaurant,24.495757,54.3713,7.2,0.9337755354055675
دجاج كنتاكى,Fast Food Restaurant,24.494863,54.373718,6.4,0.8864975478954239
Baskin Robbins (باسكن روبنز),Ice Cream Parlor,24.491657,54.365368,7.9,0.8099707158734079
Cafe 302,Café,24.492283,54.36749,8.7,0.977913417775112
Sofitel Club Millésime lounge,Hotel Bar,24.491665,54.366312,6.9,0.21193945595032282
بيتزا هت,Pizzeria,24.492183,54.366092,6.2,0.908125463077303
Chowking Restaurant,Chinese Restaurant,24.495548,54.372108,6.9,0.9727622340613202
Al Farah Pastries and Grills,Breakfast Spot,24.490588,54.365341,7.8,0.9430900045866705
ماكدونالدز,Burger Joint,24.48708,54.373053,7.2,0.9679285890696115
Southern Fried Chicken - SFC,Fast Food Restaurant,24.492776,54.366921,6.6,0.13625939385386163
فول وفتات الفرح,Mediterranean Restaurant,24.49058,54.365224,6.9,0.10870408919309882
Nation Riviera Beach Club,Beach,24.465853,54.327796,8.6,0.8529090075150831
St.Regis Private beach,Beach,24.465861,54.327913,8.4,0.9530395512119395
Catch,Seafood Restaurant,24.465627,54.327545,9.0,0.931623328511449
Nation Galleria,Shopping Plaza,24.464784,54.328596,8.4,0.998588716790742
VOX Cinemas (ڤوكس سينما),Movie Theater,24.464843,54.328584,8.5,0.981194651236637
Cafe Bateel,Café,24.464442,54.328368,8.3,0.9425960554634302
Teuscher,Dessert Shop,24.464843,54.328584,7.6,0.8955297604346752
Mado,Turkish Restaurant,24.464709,54.328374,7.9,0.9572734008397135
The St. Regis Bar,Hotel Bar,24.464284,54.327809,8.4,0.9759729033623823
Jarir Bookstore (مكتبة جرير),Bookstore,24.464843,54.328584,7.5,0.9419256959390325
Caffe Nero (كافيه نيرو),Café,24.501224,54.388483,8.5,0.9911441978619059
Espoir Flowers,Flower Store,24.500005,54.387598,8.4,0.9752672617577532
Taqado Mexican Kitchen (Galleria Mall),Mexican Restaurant,24.500731,54.388224,8.0,0.9181102917828036
Glo,Lounge,24.499913,54.387557,8.4,0.9127121335073916
Kinokuniya,Bookstore,24.500531,54.389977,8.3,0.9793247009843701
