empty_slots,free_bikes,latitude,longitude,name,category,rating,popularity,total_bikes
6.0,5.0,24.5,54.39,Cartier Boutique,Fashion Accessories Store,7.9,0.9889919909677874,11.0
10.0,0.0,24.5,54.39,Cartier Boutique,Fashion Accessories Store,7.9,0.9889919909677874,10.0
1.0,4.0,24.5,54.41,La Brioche,Café,7.4,0.9812079282458566,5.0
1.0,4.0,24.5,54.41,Waitrose & Partners,Grocery Store / Supermarket,7.8,0.994044342025956,5.0
1.0,4.0,24.5,54.41,ستاربكس,Coffee Shop,7.5,0.9834834758476504,5.0
1.0,4.0,24.5,54.41,Leopold's of London,Café,7.2,0.9111939578343096,5.0
1.0,4.0,24.5,54.41,Boudoir Beauty Lounge,Massage Clinic,7.2,0.8274463697378418,5.0
1.0,4.0,24.5,54.41,Hanoi Naturally,Vietnamese Restaurant,7.2,0.9559665430005444,5.0
1.0,4.0,24.5,54.41,The Boutik Mall,Retail,6.7,0.9937320274874554,5.0
1.0,4.0,24.5,54.41,صب واي,Deli,6.8,0.1549067625689929,5.0
4.0,4.0,24.51,54.37,Heritage Park,Park,7.6,0.9429488762657446,8.0
4.0,4.0,24.51,54.38,Sushi Central,Japanese Restaurant,8.3,0.8482870550047631,8.0
4.0,4.0,24.51,54.38,كوستا كوفي,Coffee Shop,6.7,0.9326817909183924,8.0
4.0,4.0,24.51,54.38,Le Boulanger,Café,7.3,0.8024203507038775,8.0
1.0,6.0,24.53,54.4,Louvre Abu Dhabi Museum Shop,Souvenir Store,9.4,0.9974778225769,7.0
1.0,6.0,24.53,54.4,Louvre Abu Dhabi,Art Museum,9.3,0.9981980096708488,7.0
